official_id,full_name,league_id,primary_conference,experience_years
cbb-rick-o-neill-110,Rick O'Neill,cbb,Other,3
cbb-steve-honacki-136,Steve Honacki,cbb,Big Ten,2
cbb-brian-shey-182,Brian Shey,cbb,SEC,2
cbb-shane-staggs-245,Shane Staggs,cbb,Big Ten,3
cbb-matt-jarman-263,Matt Jarman,cbb,SEC,3
cbb-tariq-lucas-276,Tariq Lucas,cbb,Big Ten,3
cbb-dean-de-selle-304,Dean De Selle,cbb,Other,3
cbb-chuck-mccoy-342,Chuck McCoy,cbb,SEC,2
cbb-courtney-holmes-108,Courtney Holmes,cbb,Other,3
cbb-dan-shows-199,Dan Shows,cbb,SEC,2
cbb-ryan-mcdaniel-215,Ryan McDaniel,cbb,Big 12,1
cbb-ray-natali-257,Ray Natali,cbb,Big East,4
cbb-ray-ames-269,Ray Ames,cbb,Other,3
cbb-michael-luckie-284,Michael Luckie,cbb,Big East,4
cbb-michael-swoboda-295,Michael Swoboda,cbb,SEC,4
cbb-matt-rafferty-309,Matt Rafferty,cbb,Other,3
cbb-matthew-rukasin-311,Matthew Rukasin,cbb,Big Ten,2
cbb-mark-fulton-313,Mark Fulton,cbb,Other,2
cbb-mike-pearson-317,Mike Pearson,cbb,Big Ten,1
cbb-keith-fogleman-38,Keith Fogleman,cbb,SEC,1
cbb-keith-kimbell-80,Keith Kimbell,cbb,Big 12,3
cbb-mark-cook-93,Mark Cook,cbb,Other,3
cbb-jeff-ketchu-101,Jeff Ketchu,cbb,Other,3
cbb-michael-griffith-148,Michael Griffith,cbb,Big Ten,2
cbb-crystal-hogan-170,Crystal Hogan,cbb,Big 12,3
cbb-chad-shepherd-171,Chad Shepherd,cbb,Big 12,3
cbb-sean-casady-183,Sean Casady,cbb,Big 12,3
cbb-johnny-harrington-208,Johnny Harrington,cbb,Other,2
cbb-coban-lopez-210,Coban Lopez,cbb,Other,2
cbb-kurt-walker-213,Kurt Walker,cbb,Big Ten,2
cbb-mark-potter-231,Mark Potter,cbb,Big East,2
cbb-jeff-wooten-232,Jeff Wooten,cbb,Big 12,2
cbb-jabir-walker-267,Jabir Walker,cbb,Big 12,1
cbb-tony-meeks-275,Tony Meeks,cbb,Big Ten,2
cbb-don-dally-280,Don Dally,cbb,Big Ten,2
cbb-chris-pasci-303,Chris Pasci,cbb,Big 12,1
cbb-michael-mojica-308,Michael Mojica,cbb,Other,2
cbb-michael-nardone-323,Michael Nardone,cbb,Big East,2
cbb-alex-landis-355,Alex Landis,cbb,Big Ten,2
cbb-jason-deering-357,Jason Deering,cbb,SEC,2
cbb-shane-land-358,Shane Land,cbb,SEC,2
cbb-vasili-mallios-375,Vasili Mallios,cbb,Big East,1
cbb-scott-arbogast-36,Scott Arbogast,cbb,ACC,2
cbb-tony-crisp-37,Tony Crisp,cbb,ACC,2
cbb-anthony-franklin-44,Anthony Franklin,cbb,ACC,2
cbb-0-83,0,cbb,Big 12,2
cbb-klaus-endrissat-90,Klaus Endrissat,cbb,Other,2
cbb-dennis-flannery-91,Dennis Flannery,cbb,Other,2
cbb-horace-shields-102,Horace Shields,cbb,Other,2
cbb-levon-zakarian-116,Levon Zakarian,cbb,Other,2
cbb-casey-mclellan-128,Casey McLellan,cbb,Big Ten,2
cbb-ron-tyburski-167,Ron Tyburski,cbb,Big East,1
cbb-troy-mathis-187,Troy Mathis,cbb,SEC,2
cbb-jeff-heater-196,Jeff Heater,cbb,ACC,1
cbb-burt-smith-202,Burt Smith,cbb,ACC,2
cbb-jeremy-mosier-203,Jeremy Mosier,cbb,ACC,2
cbb-wesley-ford-205,Wesley Ford,cbb,SEC,1
cbb-vlad-tadal-207,Vlad Tadal,cbb,Big 12,1
cbb-ruben-ramos-209,Ruben Ramos,cbb,Other,2
cbb-tom-spitznagel-233,Tom Spitznagel,cbb,Big 12,2
cbb-blanca-burns-235,Blanca Burns,cbb,Big 12,2
cbb-kevin-raher-248,Kevin Raher,cbb,SEC,2
cbb-jp-primm-259,JP Primm,cbb,ACC,2
cbb-steve-oglesby-261,Steve Oglesby,cbb,ACC,2
cbb-larry-scoritto-273,Larry Scoritto,cbb,Big Ten,1
cbb-janetta-graham-289,Janetta Graham,cbb,Big 12,2
cbb-craig-murley-291,Craig Murley,cbb,Big 12,1
cbb-donald-carstensen-294,Donald Carstensen,cbb,Big 12,2
cbb-roger-ayers-jr-302,Roger Ayers Jr.,cbb,Big East,2
cbb-mike-palua-321,Mike Palua,cbb,Big East,2
cbb-steven-perry-322,Steven Perry,cbb,Big East,2
cbb-stephen-divine-326,Stephen Divine,cbb,Big 12,1
cbb-roland-simmons-332,Roland Simmons,cbb,Big 12,2
cbb-kirk-smith-346,Kirk Smith,cbb,Other,2
cbb-ben-cartmell-348,Ben Cartmell,cbb,Other,2
cbb-john-jenkins-jr-350,John Jenkins Jr.,cbb,Other,2
cbb-michael-redd-372,Michael Redd,cbb,Big Ten,1
cbb-mike-evans-376,Mike Evans,cbb,Big East,1
cbb-john-cahill-jr-378,John Cahill Jr.,cbb,Big East,1
cbb-ben-stirt-385,Ben Stirt,cbb,ACC,1
cbb-tim-henderson-19,Tim Henderson,cbb,ACC,1
cbb-sam-haddad-99,Sam Haddad,cbb,Other,1
cbb-nik-caruthers-100,Nik Caruthers,cbb,Other,1
cbb-jeremy-dente-103,Jeremy Dente,cbb,Other,1
cbb-brent-watts-109,Brent Watts,cbb,Other,1
cbb-wilson-holland-120,Wilson Holland,cbb,Other,1
cbb-donn-berdahl-121,Donn Berdahl,cbb,Other,1
cbb-brent-meaux-123,Brent Meaux,cbb,Other,1
cbb-matt-morales-133,Matt Morales,cbb,Big Ten,1
cbb-tim-stewart-134,Tim Stewart,cbb,Big Ten,1
cbb-steve-hornacki-143,Steve Hornacki,cbb,Big Ten,1
cbb-bret-wegenke-146,Bret Wegenke,cbb,Big Ten,1
cbb-chet-walker-147,Chet Walker,cbb,Big Ten,1
cbb-kenneth-clark-149,Kenneth Clark,cbb,Big Ten,1
cbb-jeff-spedoske-150,Jeff Spedoske,cbb,Big Ten,1
cbb-rob-keuneman-151,Rob Keuneman,cbb,Big Ten,1
cbb-scott-siville-155,Scott Siville,cbb,Big Ten,1
cbb-adam-vandenburgh-162,Adam Vandenburgh,cbb,Big East,1
